,City/Town,Name of Property,Use**,Prior Rounds Applications,Proponent Name,Remaining Credit to Award,Total Awards,20% QRE,Qualified Rehab. $,Total Project Cost,HRC #,Entity,Part 2 Qualified Rehab. $,Part 2 Total Project Cost,Count_prior_rounds_applied
675,Boston / South Boston,French Shriner & Urner Shoe Factory  63 Melcher Street,R,"23, 24, 25",Kelly Saito,2423160,400000,2823160,14115800,17358126,314,63 Melcher LLC,,,3
2019,Boston / South End,"West Newton Street andRutland Street Apartments, 64 West Newton Street",R,"37, 38, 39",Vanessa Calderón- Rosado,134661.2,150000,284661.2,1423306,2583121,693,West Newton Rutland LLC,,,3
2027,Boston / South End,"West Newton Street andRutland Street Apartments, 79 Rutland Street",R,"37, 38, 39",Vanessa Calderón- Rosado,84304,100000,184304,921520,2081335,687,West Newton Rutland LLC,,,3
2005,Boston / Roxbury,"Dixwell Apartments, 21-23 Dixwell Street",R,"36, 38, 39",Frank Shea,66468,100000,166468,832340,1709825,663,Dixwell Park UE LLC,,,3
1744,New Bedford,139 Union Street,"C, R","34, 35, 36",Teri Bernert,77990,150000,227990,1139950,1394350,612,Waterfront Historica Area League,,,3
1337,Amesbury,The Briggs Carriage Company Mill  20 Cedar Street,R,"30, 31, 32",Eric Chinburg,410883,400000,810883,4054415,5667000,496,20 Cedar Street LLC,,,3
1366,Boston / Roxbury,5-17 & 6-16 Cleaves Court,R,"30, 31, 32",Sharon Zimmerman,563664.8,450000,1013664.8,5068324,10698625,507,Northwest Cleaves Limited Partnership c/o Urban Edge,,,3
1367,Boston / Roxbury,1841-1861 Columbus Avenue,R,"30, 31, 32",Sharon Zimmerman,560404.8,450000,1010404.8,5052024,10698625,508,Dimock-Bragdon Limited Partnership c/o Urban Edge,,,3
1368,Boston / Roxbury,1865 Columbus Avenue,R,"30, 31, 32",Sharon Zimmerman,305202.4,200000,505202.4,2526012,5349312,509,Dimock-Bragdon Limited Partnership c/o Urban Edge,,,3
1400,Nantucket,"Nesbitt Inn (the former William T. Swain House), 21 Broad Street",H,"30, 31, 32",Jay Bisognano,529828.8,300000,829828.8,4149144,8409256,514,Mount Vernon Company,,,3
962,Boston / North End,"Boston Printing Department Building, 130-140 Richmond Street AKA 174 North Street",A,"26, 27, 28",Miguel Gomez- Ibanez,800652.2,1300000,2100652.2,10503261,14982105,386,North Bennet Street School,,,3
1426,Andover,"Shawsheen Garage, 339 North Main Street (Phase 3,4,5,& 6 of 6)",C,"30, 31, 32","William P. DeLuca, Jr",170000,150000,320000,1600000,1600000,497,,,,3
961,Boston / North End,"Boston Police Station No. 1, 150 North Street",A,"26, 27, 28",Miguel Gomez- Ibanez,262898.4,700000,962898.4,4814492,8807727,385,North Bennet Street School,,,3
1187,Cambridge,"Hotel Austin, 70 Bishop Allen Drive",R,"28, 29, 30",Robert MacArthur,146178.2,250000,396178.2,1980891,3158275,436,Bishop Allen Apartments LLC c/o Just- A-Start Corporation,,,3
1188,Cambridge,"Hotel Florence, 51 Norfolk Street",R,"28, 29, 30",Robert MacArthur,146178.2,250000,396178.2,1980891,3158275,434,Bishop Allen Apartments LLC c/o Just- A-Start Corporation,,,3
1189,Cambridge,"Hotel Greyburn, 77 Bishop Allen Drive",R,"28, 29, 30",Robert MacArthur,146178.2,250000,396178.2,1980891,3158275,437,Bishop Allen Apartments LLC c/o Just- A-Start Corporation,,,3
1190,Cambridge,Hotel Munroe  62 Norfolk Street,R,"28, 29, 30",Robert MacArthur,144638.2,250000,394638.2,1973191,3230275,435,Bishop Allen Apartments LLC c/o Just- A-Start Corporation,,,3
1101,Chelsea,"Chelsea American Legion Hall, 215 Shurtleff Street",R,"27, 28, 29",Ann Houston,100497.2,400000,500497.2,2502486,3296187,407,"North Bellingham Veterans Home LLC, by The Neighborhood Developers, Inc., its sole member",,,3
1237,Worcester,"Fire Alarm and Telegraph Headquarters Building, 230 Park Avenue",Mixed Use,"28, 29, 30",K. Michael Robbins,378074.6,300000,678074.6,3390373,4756490,445,Spencer Savings Bank,,,3
1442,Boston / Dorchester,"Colpitts Blacksmith Shop, 18-20 New England Avenue",R,"31, 32, 33",Gail Latimore,107618.8,200000,307618.8,1538094,1768094,519,"Talbot Station I LLC, Codman Square Neighborhood Development Corporation",,,3
1449,Boston / Fenway,36 Francis Street,R,"31, 32, 33",Karen Gately,110454.2,50000,160454.2,802271,1743300,521,Roxbury Tenants of Harvard Association,,,3
786,Brockton,"Smith & Howard - Tolman Buildings & Bay State Block, 41 73 Centre Street",O,"24, 25, 26",Steven Greene,244868.4,700000,944868.4,4724342,6066841,336,WB Mason,,,3
1450,Boston / Fenway,52 Francis Street,R,"31, 32, 33",Karen Gately,121010.4,50000,171010.4,855052,1857991,522,Roxbury Tenants of Harvard Association,,,3
1679,Salem,"Congress and Ward Apartments, 71 Palmer Street",R,"33, 34, 35",Mickey Northcutt,125094.8,225000,350094.8,1750474,2866848,596,"Congress & Ward, LLC",,,3
1680,Salem,"Congress and Ward Apartments, 32 Perkins Street",R,"33, 34, 35",Mickey Northcutt,132754,150000,282754,1413770,2263655,597,"Congress & Ward, LLC",,,3
1681,Salem,"Congress and Ward Apartments, 40 Ward Street",R,"33, 34, 35",Mickey Northcutt,128297.2,150000,278297.2,1391486,2350804,599,"Congress & Ward, LLC",,,3
940,Arlington,"William W. Kimball House, 13 Winter Street",R,"26, 27, 28",Jason Korb,71069.2,150000,221069.2,1105346,2184698,381,Maggie Ash LLC,,,3
1461,Boston / Fenway,54 Fenwood Road,R,"31, 32, 33",Karen Gately,141843.4,50000,191843.4,959217,2084336,523,Roxbury Tenants of Harvard Association,,,3
1462,Boston / Fenway,55 Fenwood Road,R,"31, 32, 33",Karen Gately,173556.4,0,173556.4,867782,1885651,524,Roxbury Tenants of Harvard Association,,,3
1463,Boston / Fenway,56 Fenwood Road,R,"31, 32, 33",Karen Gately,161447.8,0,161447.8,807239,1754094,525,Roxbury Tenants of Harvard Association,,,3
1464,Boston / Fenway,57 Fenwood Road,R,"31, 32, 33",Karen Gately,175667.6,0,175667.6,878338,1908590,526,Roxbury Tenants of Harvard Association,,,3
907,North Adams,Mohawk Theater,E,"8, 9, 27",Blair Benjamin,488059.2,2182000,1579059.2,7895296,11127678,65,"Partnership for North Adams, Inc.",,,3
1492,Lowell,"B.P.O.E. Elks Lodge #87, 15 Warren Street (Phase 1 of 2)",O,"31, 32, 33",Gregg Croteau,167339.8,350000,517339.8,2586699,3398002,530,United Teen Equality Center,,,3
1508,North Adams,"Greylock Market, State Street","C, R","31, 32, 33",Blair Benjamin,894964.2,600000,1494964.2,7474821,9653751,532,"Greylock Market, LLC",,,3
1529,Springfield,"Elisha Gunn Block, 477 State Street","C, R","31, 32, 33",Jay Minkarah,164909.8,350000,514909.8,2574549,2964576,534,Develop Springfield  Inc.,,,3
1537,Boston / Dorchester,6 - 8 Bellevue Street,R,"32, 33, 34","John B. Cruz, III",211706,200000,411706,2058530,4720039,546,Cruz Development Corporation,,,3
1147,Springfield,The Community Music School Springfield  127 State Street,A,"27, 28, 29",Eileen McCaffery,97048,50000,147048,735240,975240,418,Community Music School of Springfield  Inc.,,,3
2416,Gardner,"Greenwood Block, 297-301 Central Street",R,"40, 41, 42",Shawn P. Hayden,508289,0,508289,2541445,2825220.93,787,GAAMHA Inc.,,,3
61,Cambridge,"YWCA Main Bldg, 7 Temple St","O, R","15, 16, 17",Eva Martin Blythe,142863,1100000,1242863,6214315,7257296,145,Cambridge YWCA,,,3
313,Gardner,Heywood Wakefield Bldg #10 & Part of Bldg #10/11 Annex,R,"15, 16, 21",Matthew E. Wally,2578563.6,1000000,3578563.6,17892818,23462720,147,HW3 Housing Associates Limited Partnership,,,3
67,Greenfield,"First National Bank & Trust, 7 - 11 Bank Row (Phase 3 of 3)",C,"15, 16, 17",John Waite,627676,300000,927676,4638380,5014137,150,Franklin County Community Development Corporation,,,3
83,New Bedford,Coggeshall Counting House,"O, A","15, 16, 17",Mark Rasmussen,373438.6,400000,773438.6,3867193,5342482,160,Buzzards Bay Center Incorporated (Affiliate of theCoalition for Buzzards Bay Inc.),,,3
381,Boston / Dorchester,137 Columbia Road,R,"20, 21, 22",Martha Abrams- Bell,93633,150000,243633,1218165,3390976,250,"Peritdot II, Inc.-GP, Danube Apartments",,,3
2387,Boston / Roxbury,24-26 Gardner Street,R,"40, 41, 42",Matt Henzy,62859,70000,132859,664295,961427,776,Jamaica Plain Neighborhood Development Corporation,,,3
2390,Boston / Roxbury,275-277 Roxbury Street,R,"40, 41, 42",Matt Henzy,77265,100000,177265,886325,1496668,774,Jamaica Plain Neighborhood Development Corporation,,,3
120,Leominster,Whitney Building,R,"16, 17, 18",Marc Dohan,1127189,1600000,2727189,13635945,14618945,171,Twin Cities Community Development Corporation,,,3
222,Boston / SouthEnd,Ellis Memorial and EldredgeHouse  58 Berkeley St.,"C, O","18, 19, 20",Leo J. Delaney,449356,800000,1249356,6246780,6989780,211,Ellis Memorial & EldredgeHouse,,,3
249,Lowell,UTEC / former St. Paul's United Methodist Church,Y,"16, 17, 18",Gregg Croteau,104956.8,500000,604956.8,3024784,9700000,173,UTEC/United Teen Equality Center,,,3
382,Boston / Dorchester,825 & 829 Blue Hill Avenue,R,"20, 21, 22",Martha Abrams- Bell,107380.4,200000,307380.4,1536902,4277293,252,"Peridot II, Inc.- GP; Danube Apartments",,,3
1,Athol,Athol High School,R,"13,14,15",Richard Hayden,620004.4,1750000,2370004.4,11850022,13937113,111,Stratford Capital Group LLC /School Street Residences LP,,,3
410,Lawrence,"Malden Mills, Building #29 (Bays 1-23/25) & Building #30, 550 &600 Broadway",R,"20, 21, 22",Adam Stein,425680.2,8400000,4925680.2,24628401,34821879,63,MM Lawrence Limited Partnership  WinnDevelopment,,,3
2216,Northampton,"Aaron Breck House, 206 Elm Street",R,"38, 39, 40",Simon Salloom,78466,0,78466,392330,440461,736,206 Elm Street Realty Trust,,,3
411,Lawrence,"New England Telephone Building, 226-232 Common Street",R,"20, 21, 22",Larry Oaks,590371.6,800000,1390371.6,6951858,9038177,265,"232 Common St., LLC c/o Peabody Properties",,,3
2126,Boston / Dorchester,Uphams Corner Comfort Station  611 Columbia Road,C,"36, 37, 38",Kathy Kottaridis,155494.4,100000,255494.4,1277472,1439237,659,HBI Real Estate Holdings LLC,,,3
2220,Salem,"Joshua Loring House, 55-57 Federal Street",R,"38, 39, 40",David A. Pabich,132646.2,100000,232646.2,1163231,1688361,740,Renewal Ventures LLC,,,3
1138,Pittsfield,"Notre Dame Apartments (former Notre Dame School), 41  Melville Street",R,"28, 29",David Carver,119020,0,119020,595100,1339600,443,WDM Properties LLC,,,2
915,Springfield,"Adams Apartments, 71 Adams Street",R,"24, 26",Thomas Kegelman,221614.4,200000,421614.4,2108072,2585048,345,Center City Housing LLC,,,2
931,Westborough,3 and 5-7 Milk Street,"C, R","26, 27",Sean P. McGrath,320644.8,0,320644.8,1603224,1918703,401,Holbrook Investments Realty Trust c/o Stonegate Group LLC,,,2
112,Greenfield,"Garden Theater Block, 353-367 Main St.",E,"17, 18",George Gohl & William Gobeille,1242866.6,600000,1842866.6,9214333,11111195,190,"The Garden Building, LLC",,,2
1103,Dedham,"Margaret Guild House, 10 Pearl Street",R,"28, 29",Peter W. Smith,61023.2,50000,111023.2,555116,923929,439,Oxbow Pearl LLC,,,2
918,Springfield,"Winthrop Apartments, 22-24 Winthrop Street",R,"24, 26",Thomas Kegelman,358532.8,400000,758532.8,3792664,4613731,351,Center City Housing LLC,,,2
917,Springfield,"Ivernia Apartments, 91-93 Pine Street",R,"24, 26",Thomas Kegelman,374758.4,200000,574758.4,2873792,3738851,347,Center City Housing LLC,,,2
916,Springfield,"Hancock Apartments, 116 Hancock Street",R,"24, 26",Thomas Kegelman,366064,200000,566064,2830320,3577726,346,Center City Housing LLC,,,2
131,Springfield,"Home Realty Trust Apts &Cumberland Apts, 16,26,30 Cumberland St, 36 Cumberland",R,"17, 18",Howard Earl Cohen,705697,0,705697,3528485,6124307,198,Cumberland Homes LimitedPartnership by its General Partner BRP Cumberland Corp.,,,2
130,Springfield,1698-1728 Dwight Street,R,"17, 18",Howard Earl Cohen,625806.8,0,625806.8,3129034,5430989,197,Cumberland Homes LimitedPartnership by its General Partner BRP Cumberland Corp.,,,2
124,Montague,"J Street Artists' Residences, 108 J Street",R,"17, 18",Eileen Dowd,11988,0,11988,59940,64440,193,AIR Associates,,,2
95,Boston / BeaconHill,"Bowdoin Manor, 37, 39, & 41Bowdoin Street",R,"14, 18",Ellen Tan,137637.6,650000,787637.6,3938188,7999292,136,Commonwealth Land Trust Inc.,,,2
30,New Bedford,"Robert C. Ingraham School, 80 River St","R, O, C","15, 16",Loni Willey,979901.4,400000,1379901.4,6899507,8160187,161,Ingraham School LLC,,,2
25,Lowell,"Appleton Manufacturing Co. Mill No. 4, Jackson St",R,"15,16",Jim Keefe,2459640,600000,3059640,15298200,16608301,157,Trinity Appleton Four Limited Partnership  c/o Trinity Hamilton Canal Limited Partnership,,,2
1070,Boston / South End,170 West Springfield Street,R,"28, 29",Eliza Datta,165878.8,0,165878.8,829394,997271,430,Historic South End Limited Partnership,,,2
1069,Boston / South End,168 West Springfield Street,R,"28, 29",Eliza Datta,165878.8,0,165878.8,829394,997271,429,Historic South End Limited Partnership,,,2
1068,Boston / South End,166 West Springfield Street,R,"28, 29",Eliza Datta,165878.8,0,165878.8,829394,997271,428,Historic South End Limited Partnership,,,2
15,Greenfield,"George A. Arms Block, 285-291 MainSt","C, O,","15, 16",Ed ward Wierzbowski,139801.6,300000,439801.6,2199008,2706506,154,The Arts Block LLC,,,2
1065,Boston / South End,160 West Springfield Street,R,"28, 29",Eliza Datta,165878.8,0,165878.8,829394,997271,425,Historic South End Limited Partnership,,,2
1066,Boston / South End,162 West Springfield Street,R,"28, 29",Eliza Datta,165878.8,0,165878.8,829394,997271,426,Historic South End Limited Partnership,,,2
1071,Boston / South End,172 West Springfield Street,R,"28, 29",Eliza Datta,165878.8,0,165878.8,829394,997271,431,Historic South End Limited Partnership,,,2
1067,Boston / South End,164 West Springfield Street,R,"28, 29",Eliza Datta,165878.8,0,165878.8,829394,997271,427,Historic South End Limited Partnership,,,2
1093,Boston / South End,1662 Washington Street,R,"28, 29",Kevin McCrea,87585,100000,187585,937925,2598735,433,Orange Octopus Trust,,,2
62,Cambridge,YWCA Tanner Building,R,"16, 17",Eva Martin Blythe,100004.2,800000,900004.2,4500021,5255283,169,Cambridge YWCA,,,2
1072,Boston / South End,174 West Springfield Street,R,"28, 29",Eliza Datta,165878.8,0,165878.8,829394,997271,432,Historic South End Limited Partnership,,,2
39,Springfield,"City View Commons I, Bldg #4,  925 - 931 Worthington St",R,"15, 16",Gordon Pulsifer,108872.2,400000,508872.2,2544361,3650169,166,City View Commons Limited Partnership  c/o First Resource Development Co.,,,2
24,Lowell,"Appleton Manufacturing Co., Office Building & Mill No. 1, Jackson St",R,"15, 16",James Keefe,8914116,1000000,9914116,49570580,51286690,156,Trinity Appleton Four Limited Partnership  by Trinity Appleton Four Inc.,,,2
389,Boston / South End,"Calvin Swallow Residence, 784- 790 Tremont Street","R, C","21, 22",V. William Avanesian,92904.6,200000,292904.6,1464523,2176274,273,784 Tremont Street LLC,,,2
384,Boston / Roxbury,"Engine 14 Firehouse, 27 Centre Street",O,"21, 22",Kenneth G. Smith,113317,300000,413317,2066585,2128043,272,Dudley Economic Empowerment Partners Inc.,,,2
557,Winthrop,10-26 Somerset Avenue,"O, C","22, 23",Stephen Fraser,163557.4,650000,813557.4,4067787,5500000,311,East Boston NeighborhoodHealth Center,,,2
562,Boston / Beacon Hill,"Silas P. Meriam House, 40 Temple Street",H,"23, 24",Michael A. Miller,238000,0,238000,1190000,3626400,312,STO LLC,,,2
668,Boston / Roxbury,"Alvah Kittredge House, 10 Linwood Street",R,"24, 25",Kathy Kottaridis,218685.6,600000,818685.6,4093428,4763020,334,"Historic Boston Incorporated, c/o Historic Boston Inc.",,,2
1140,Salem,92-96 Lafayette Street  (Zena Goodell Block/Canadian Klondike Club) (Phases 1 & 2 of 2),C,"28, 29",Linda J. Cappuccio,131768,0,131768,658840,1558315,403,Strega Realty Trust,,,2
422,New Bedford,"James A. Tripp House (AllenStreet Apartments), 24 Allen Street",R,"21, 22",Ed Allard,57323.4,400000,457323.4,2286617,2554910,281,"Community Action for Better Housing, Inc.",,,2
483,Brockton,"Gardner Building, 62 CentreStreet",R,"22, 23",James G. Keefe,2542890.4,300000,2842890.4,14214452,18779181,306,"One LP by Trinity Brockton FourPhase One Inc, its General",,,2
485,Brockton,"George G. Snow Co. Factory / OldColony Shoe Company, 88 LincolnSt","C, O","22, 23",John B. Vlaco,245257.6,800000,1045257.6,5226288,6599178,303,88 Lincoln Street Brockton LLC,,,2
784,Boston / South End,658 Mass Ave,R,"25, 26",Thomas Magloczki,177270.8,150000,327270.8,1636354,2787700,362,658 Mass Ave LLC (TBD),,,2
241,Lee,Baird & Benton Block,A,"19, 20",Michael McManmon,98000,500000,598000,2990000,3880000,239,College Internship Program (CIP),,,2
820,Salem,"Salem Point Apartments, 57-59 Harbor Street",R,"25, 26",Mickey Northcutt,226953.2,200000,426953.2,2134766,3362841,370,Salem Point Limited Partnership c/o North Shore CDC,,,2
862,Boston / Hyde Park,"Bonney-Keith Block, 74-84 Fairmount Ave","R, C","26, 27",Kathy Kottaridis,203373.2,100000,303373.2,1516866,2020866,384,"Historic Boston, Inc.",,,2
147,Worcester,"John Johnson Three Decker, 140 Eastern Ave.",R,"17, 18",David Zisskind,102707.8,140000,242707.8,1213539,1422539,205,Worcester Stabilization LLC,,,2
317,Holyoke,"Convent of the Sisters of Notre Dame de Lourdes, 85 Chestnut Street",R,"20, 21",E. Denis Walsh,114116,300000,414116,2070580,2684756,262,Weld Management,,,2
686,Chelsea,"School & Convent of the St. Stanislaus Bishop & Martyr Parish Complex, 179-182 Chestnut Street",R,"24, 25",Gerald M. Sneirson,154944.4,400000,554944.4,2774722,3890247,337,Campus LLC c/o New Chelsea Realty,,,2
298,Boston / Roxbury,"Eustis Street Fire Station, 20 Eustis Street","O, C","16, 18",City of Boston - Evelyn Friedman,56506.4,247000,303506.4,1517532,2539390,168,Department of Neighborhood Development,,,2
709,Lowell,"Mazur Apartments (Belvidere Woolen Mill Building), 227 Fayette Street",R,"24, 25",Matt Mittelstadt,143649,200000,343649,1718245,1927895,340,EA Fish Development LLC,,,2
1459,Boston / Fenway,52 Fenwood Road,R,"32, 33",Karen Gately,143409.2,0,143409.2,717046,1558108,556,Roxbury Tenants of Harvard Association,,,2
2279,Boston / Roxbury,279-281 Roxbury Street,R,"40, 41",Matt Henzy,38632.4,50000,88632.4,443162,748334,773,Jamaica Plain Neighborhood Development Corporation,,,2
2452,Salem,14-16 Hodges Court,R,"41, 42",Mike Becker,45019.6,100000,145019.6,725098,1408373,808,Salem Residential Rental Properties LLC,,,2
2100,Westborough,"The Arcade Building, 1 West Main Street","C, M","38, 39",Dean Calivas,101011.6,0,101011.6,505058,505058,745,"Holbrook Investments Realty Trust, c/o Stonegate Group",,,2
1148,Taunton,"District Courthouse, 9 Court Street","E, Arts & Event Center","28, 29",Michael Wedge,191864,0,191864,959320,1097510,444,Downtown Taunton Foundation,,,2
2077,Salem,59 Federal Street,R,"38, 39",David A. Pabich,103805.6,100000,203805.6,1019028,1437373,738,Renewal Ventures LLC,,,2
2072,Newburyport,"Old Market House, 1-3 Market Square",C,"38, 39",John Moynihan,101109.2,100000,201109.2,1005546,1005546,735,"Society for the Development of Arts andHumanities of Greater Newburyport, (DBA Firehouse Center for the Arts)",,,2
2069,New Bedford,141 Union Street,"R, C","35, 36",Teri Bernert,89561,150000,239561,1197805,1463205,638,Waterfront Historic Area League,,,2
1465,Boston / Fenway,24 St  Albans Road,R,"32, 33",Karen Gately,139621.2,0,139621.2,698106,1516954,558,Roxbury Tenants of Harvard Association,,,2
1460,Boston / Fenway,53 Fenwood Road,R,"32, 33",Karen Gately,121010.4,50000,171010.4,855052,1857991,557,Roxbury Tenants of Harvard Association,,,2
1458,Boston / Fenway,51 Fenwood Road,R,"32, 33",Karen Gately,128493,50000,178493,892465,1939285,555,Roxbury Tenants of HarvardAssociation,,,2
1457,Boston / Fenway,50 Fenwood Road,R,"32, 33",Karen Gately,120638,50000,170638,853190,1853943,554,Roxbury Tenants of HarvardAssociation,,,2
1456,Boston / Fenway,44 Fenwood Road,R,"32, 33",Karen Gately,182001.4,0,182001.4,910007,1977404,553,Roxbury Tenants of HarvardAssociation,,,2
1455,Boston / Fenway,40 Fenwood Road,R,"32, 33",Karen Gately,167502,0,167502,837510,1819873,552,Roxbury Tenants of HarvardAssociation,,,2
1454,Boston / Fenway,36 Fenwood Road,R,"32, 33",Karen Gately,117936.8,50000,167936.8,839684,1824596,551,Roxbury Tenants of Harvard Association,,,2
1453,Boston / Fenway,32 Fenwood Road,R,"32, 33",Karen Gately,115204.6,50000,165204.6,826023,1794911,550,Roxbury Tenants of Harvard Association,,,2
1452,Boston / Fenway,30 Fenwood Road,R,"32, 33",Karen Gately,186720.6,0,186720.6,933603,2028678,549,Roxbury Tenants of Harvard Association,,,2
1451,Boston / Fenway,24 Fenwood Road,R,"32, 33",Karen Gately,144917.2,50000,194917.2,974586,2117732,548,Roxbury Tenants of Harvard Association,,,2
1427,Arlington,"The Kimball Farmer House, 1173 Massachusetts Avenue",R,"32, 33",Pamela Hallett,50150,50000,100150,500750,1151750,544,Housing Corporation of Arlington,,,2
1421,Stockbridge,"Stockbridge Library, Museum and Archives, 46 Main Street",Museum,"31, 32",Katherine O'Neil,112965.8,400000,512965.8,2564829,3362308,536,Stockbridge Library Association,,,2
1420,Springfield,"Merrick-Phelps House, 83 Maple Street",C,"31, 32",Jay Minkarah,235854.8,100000,335854.8,1679274,1951228,535,"Develop Springfield, Inc.",,,2
1582,Northampton,"Boiler House, Round Hill Road",R,"33, 34",Peter Picknelly,128134.6,100000,228134.6,1140673,1384000,587,"Historic Round Hill Summit, LLC c/o OPAL Real Estate Group",,,2
1581,Northampton,"Adams Hall, 40 - 42 Round Hill Road",R,"33, 34",Peter Picknelly,108248.8,100000,208248.8,1041244,1256000,586,"Historic Round Hill Summit, LLC c/o OPAL Real Estate Group",,,2
1552,Boston / South Boston,"9 Channel Center (40-44 Midway Street), 40-44 MidwayStreet","C, O","33, 34",Young K. Park,4997968.4,300000,5297968.4,26489842,35445636,601,"9 Channel Center LLC, C/o Berkeley Investments",,,2
1526,Salem,"Joshua Ward House, 148 Washington Street",H,"32, 33",Todd Waller,114100,100000,214100,1070500,2077500,570,"ZXE, LLC",,,2
1507,Newton,"Warren School (Warren House), 1600 Washington Street(Phases 1 and 2 of 2)",R,"20, 33",Jeanne Strickland,207359.2,700000,607359.2,3036796,4110752,268,Newton Community Development Foundation  Inc.,,,2
1233,Waltham,"Henry C. Hall House, 107 Crescent Street",R,"29, 30",John Thompson,99650,50000,149650,748250,1313450,493,Crescent Street Management LLC,,,2
1209,Lowell,"Chalifoux Annex/Phoenix Building, 27 Prescott Street","C, O","29, 30",Gregg Croteau,215945,0,215945,1079725,1264725,488,United Teen Equality Center,,,2
1827,Montague,"L Street Housing, 132 L Street",R,"36, 37",Robert G. Obear,152197.6,0,152197.6,760988,740125,676,"Pioneer Valley Redevelopers, LLC",,,2
1826,Montague,"34 East Main Housing, 34 East Main Street","R, C","36, 37",Robert G. Obear,54329.2,0,54329.2,271646,264395,675,"Powers Block Properties, LLC",,,2
1825,Montague,"30 East Main Housing, 30 East Main Street","R, C","36, 37",Robert G. Obear,61072.1,0,61072.1,305360.5,404547.5,674,"Powers Block Properties, LLC",,,2
1780,Worcester,"Wellington Street Apartments, The Mount Vernon, 46Wellington Street",R,"35, 36",Lawrence Curtis,139190.6,100000,239190.6,1195953,2569451,624,Wellington Redevelopment 2 GPLLC,,,2
1779,Worcester,"Wellington Street Apartments,The Knowlton, 51 Wellington Street",R,"35, 36",Lawrence Curtis,182537.6,150000,332537.6,1662688,3572211,623,Wellington Redevelopment 2 GPLLC,,,2
1751,Oak Bluffs,"Wesley Hotel, 70 LakeAvenue",,"35, 36",Rich Cooper,280525,100000,380525,1902625,8825625,639,Wesley MV OpCo LLC,,,2
1778,Worcester,"Wellington Street Apartments, The Columbia, 6 Jacques Avenue",R,"35, 36",Lawrence Curtis,136640.8,150000,286640.8,1433204,3079176,622,Wellington Redevelopment 2 GPLLC,,,2
1767,Springfield,"Wigglesworth Building, 7Lillian Street / 23 Oak Street",R,"35, 36",Paul Oldenburg,176978.6,400000,576978.6,2884893,3425024,652,Saint James Commons Associates,,,2
1766,Springfield,"The Saint James, 573 StateStreet / 5 Oak Street",R,"35, 36",Paul Oldenburg,329492.8,600000,929492.8,4647464,7082872,651,Saint James Commons Associates,,,2
1775,Worcester,"Wellington Street Apartments, Dworman Apartment Building,25-27 Ethan Allen Street",R,"35, 36",Lawrence Curtis,159305,50000,209305,1046525,2248413,616,Wellington Redevelopment 2 GPLLC,,,2
1777,Worcester,"Wellington Street Apartments,The Boynton, 718 Main Street",R,"35, 36",Lawrence Curtis,154165.4,150000,304165.4,1520827,3267430,621,Wellington Redevelopment 2 GPLLC,,,2
1776,Worcester,"Wellington Street Apartments,F.S. Robbins Apartment House  42 Wellington Street",R,"35, 36",Lawrence Curtis,376836.4,150000,526836.4,2634182,5659423,617,Wellington Redevelopment 2 GPLLC,,,2
208,Worcester,"Plummer Building, 180 Main Street",O,18  19,Robert J. Oftring,303600,300000,603600,3018000,3940000,228,184 Main Street Associates  LLC,,,1
153,Boston / Dorchester,4-6 Lyndhurst St  4-6 Lyndhurst St,R  C,18  19,Gail Latimore,255599.9,200000,455599.9,2277999.5,3432995,207,"Codman Square NDC, Codman Square Neighborhood Development Corporation",,,1
189,Newton,"Carriage House of John Souther House Property, 43 Fairmont Ave",O,18  19,Guhan Subramanian,50600,50000,100600,503000,503000,220,Subramanian Negotiation Advisory Services,,,1
3,Boston / East Boston,"Trinity House, 406 Meridian St.",R,,Philip R. Giffee,138116.4,0,138116.4,690582,1073239,,Trinity House LLC,,,
12,Greenfield,"Allen Block, 1 - 5 Bank Row","R, C",15,Jordi Herald,97264.2,250000,347264.2,1736321,214625,149,"Icarus, Wheaten, and Finch",,,
16,Greenfield,"Pond & Siano Blocks, 19 -27 BankRow","C, O, R",15,Jordi Herald,66588.6,250000,316588.6,1582943,2019010,151,"Icarus, Wheaten, and Finch",,,
27,Montague,"St. Anne's Rectory, Montague Performing Arts Center Annex, Turners Falls","C, H",16,John P. Anctil,136422.4,0,136422.4,682112,835002,174,,,,
46,Worcester,Thule Building,,14,Robert J. Oftring,600000,0,600000,3000000,4400000,131,"184 Main Street Associates, LLC",,,
55,Boston / Roxbury,"Urban Edge Limited Partnership Apartments (UELP), 60 Seaver St",R,17,Mossik Hacobian,229268.6,0,229268.6,1146343,1702042,185,Urban Edge Limited Partnership,,,
69,Greenfield,"Franklin Savings Bank, 332 Main St (Phase 2 of 2)",E,15,Ed Wierzbowski,121172.2,175000,296172.2,1480861,2143013,155,The Pushkin LLC,,,
81,Nahant,"332 Nahant Road ""Post Office Block""","C, R",17,John Dolhun,85761.4,0,85761.4,428807,474434,194,"Cobalt Realty, LLC",,,
98,Boston / Dorchester,"Sarah Davidson Block, 3 Gaylord Street","R, C",,Gail Latimore,268773.8,0,268773.8,1343869,1923860,232,Codman Square Neighborhood Development Corporation,,,
99,Boston / Dorchester,544-546 Washington Street,R,,Gail Latimore,273562.4,0,273562.4,1367812,2167812,233,Codman Square Neighborhood Development Corporation,,,
100,Boston / Dorchester,"Walton & Roslin Halls, 702-728 Washington Street","R, C",,Gail Latimore,444457,0,444457,2222285,2852285,234,Codman Square Neighborhood Development Corporation,,,
